Titulo,Preco,Localizacao,Descricao,Tamanho
N/A,R$ 350.000Cond.  R$ 200 | IPTU R$ 0,"Santa Mônica, Uberlândia","APARTAMENTO 2/4 SENDO UMA SUÍTE 54m2 - SANTA MÔNICA

SUÍTE COM PANEIL DE TV E ESPAÇO CLOSET COM ESPELHO 

01 QUARTO (ESCRITÓRIO COMPLETO - COM PROJETO PARA QUARTO COMUM)

ARMÁRIOS EMBUTIDOS (1° LINHA COM AMORTECEDORES E BATENTES DIFERENCIADOS) EM TODOS OS CÔMODOS;

LUZ QUENTE EM LED EM TODOS AMBIENTES 

02 SACADAS

 SALA EM DOIS AMBIENTES 

PISO PORCELANATO 

LAVANDERIA SEPARADA 

ELEVADOR

SALÃO DE FESTA COM ESPAÇO KIDS

CAMERAS DE MONITORAMENTO DE SEGURANÇA 24 HRS

01 VAGA GARAGEM
Fale conosco: -",54 m²
N/A,R$ 725.000Cond.  R$ 800 | IPTU R$ 0,"Centro, Uberlândia","Condomínio com:
Portaria 12 horas.
Elevador.

Apartamento com:
01 vaga de garagem. 
Hall de entrada.
Sala ampla em 03 ambientes.
Sala de jantar.
03 quartos sendo 01 suíte (todos os quartos com armários).
Banheiro social.
Cozinha planejada,
Lavanderia.
Dependência de serviço.

Piso porcelanato 
Apartamento todo reformado.. ref. 53380 atualizado em 12/10.",166 m²
N/A,R$ 260.000,"Laranjeiras, Uberlândia","Excelente apartamento com sala com sacada , 02 quartos sendo 01 com armários , ar condicionado , banheiro social com armário e box , cozinha com armários planejados , área de serviço , 01 vaga de garagem coberta .",57 m²
N/A,R$ 338.400Cond.  R$ 300 | IPTU R$ 0,"Brasil, Uberlândia","Imóvel localizado no bairro Brasil, região central de Uberlândia.
Apartamentos com 51m² e 56m², composto por:
- 2 quartos sendo 1 suíte com sacada;
- Sala em 2 ambientes;
- Cozinha estilo americana;
- Área de serviço;
- 1 vaga de garagem.

Condomínio com elevador, salão de festas e estrutura para portaria 24h. Prédio 7 andares sendo 4 unidades. Valor do condomínio previsto: R$300,00

**Todas as informações presentes neste anúncio estão sujeitas a alteração de valores e disponibilidade, sem aviso prévio, tanto por parte do proprietário quanto por parte da SkyBox Imóveis. Consulte os nossos atendentes e Corretores para maiores informações. Compra e venda de imóveis, apenas com corretores credenciados no CRECI da região. As imagens, vídeos e fotos contidas nesse anúncio são de uso exclusivo da SkyBox Imóveis e a divulgação das mesmas sem prévia autorização está sujeita a penalidades previstas por lei.** -",56 m²
N/A,R$ 280.000,"Novo Mundo, Uberlândia","CARACTERÍSTICAS:

 Área 60m²
- 2 Quartos 
- 1 Suíte
- Cozinha e área de serviço
- Sala dois ambientes
- Sacada
- Área de serviços
- Banheiro social 
- Porcelanato
- Laminado

DIFERENCIAIS: 

- Vaga de garagem 
- Interfone
- Elevador 
- Torre única

- Bairro com infraestrutura completa, supermercados, farmácias, escolas, restaurantes, fácil acesso ao shopping e centro

CONDIÇÕES:
- Preço: R$ 280.000,00

BAIRRO:
- Novo Mundo

Aprovamos seu Crédito consulte condições.
Contato ou pelo WhatsApp 
Siga no Instagram @gilmardosimoveis
CRECI PJ 6468",60 m²
N/A,R$ 866.939,"Jardim Sul, Uberlândia","Descubra o Verdadeiro sentido de lar - Lançamento na Zona Sul de Uberlândia, DOMUN. Mais que seu novo lar, sua nova vida. Apartamentos com 105,70m², 2 suítes, sala ampliada, lavabo, cozinha aberta, varanda gourmet, 3 elevadores, 2 vagas de garagem, box privativo. São mais de 28 itens de Área de Lazer Conceito Resort. Próximo do Uberlândia Shopping, Unitri, Pitágoras dentre outras. Excelente localização e rápido acesso ao Centro da cidade. 
Sucesso de Vendas - Últimas unidades 

- CHUVEIROS E TORNEIRAS
• Cozinha, banhos das unidades com aquecimento a Gás.
- ELEVADORES SOCIAIS COM ACABAMENTO INTERNO EM INOX
- OPÇÃO VARANDA AMPLIADA COM CHURRASQUEIRA ELÉTRICA OU A CARVÃO ENTREGUE
AR-CONDICIONADO:
- Ambientes com infraestruturas secas: • Carga elétrica/dreno/tubulação frigorígena para os dormitórios e sala

ACABAMENTOS
PISOS:
- Porcelanato 60x60 acetinado (banhos, lavabo, lavanderia, cozinha, varanda, sala de jantar e de TV e dormitórios) 
REVESTIMENTO DAS ÁREAS MOLHADAS:
- Revestimento 30x60 mate bold - (cozinha, lavanderia, banho) em todas as paredes

BANCADAS:
- Bancada em Granito Branco Dallas - (lavabo e banhos)
- Bancada em Granito Verde Ubatuba - (varanda gourmet e cozinha)
PORTAS:
- Portas de madeira

- ESQUADRIAS COM PERSIANAS INTEGRADAS
- MEDIÇÕES INDIVIDUALIZADAS - Água, luz e gás
- BIKE SHARE - Ambiente entregue com 7 bicicletas adultos e 3
bicicletas infantis
- B. REPAIR - Armários com ferramentas compartilhadas para uso do
morador
- CHURRASQUEIRA COM PISCINA PRIVATIVA
- PISCINA CLIMATIZADA NA ÁREA DE LAZER
- DEPÓSITOS PARA ENTREGAS
- PÓRTICO DE ENTRADA COM ESPERA INDEPENDENTE DE MORADOR, VISITANTES E SERVIÇO
- PAISAGISMO INTELIGENTE PARA ÁREAS COMUNS
- ESTACIONAMENTO COBERTO NO SUBSOLO E TÉRREO
- ARMÁRIOS PRIVATIVOS NO PAVIMENTO TIPO
- PONTO DE RECARGA DE CARRO ELÉTRICO
- AMBIENTES DE LAZER ENTREGUES DECORADOS E EQUIPADOS
- MONITORAMENTO
- 13 vagas extras 
- 3 elevadores, sendo 2 sociais e 1 de serviço 
- Previsão de entrega 

* Valor a partir de R$ 866.938,648 – Últimas unidades
Gostou do imóvel? Estamos aqui para te ajudar na negociação. Conte com a Objetiva Imóveis Uberlândia",106 m²
N/A,R$ 250.900,"Segismundo Pereira, Uberlândia","O Select Residence foi feito para que cada detalhe complete você e sua família.
Com área de lazer completa no terraço, para quem busca bem-estar, saúde e qualidade de vida.
• Torre única
• 2 quartos, sendo 1 suíte
• Sala em dois ambientes
• Plantas de 53,54 e 57,91 m²
• Sacada gourmet
• 2 elevadores
• Portaria projetada para 24h
• Gás canalizado
• Piscina
• Salão de festas
• Espaço gourmet com churrasqueira
• Espaço multiuso
• Área de lazer no terraço",54 m²
N/A,R$ 1.510.000Cond.  R$ 800 | IPTU R$ 0,"Martins, Uberlândia","Ótimo apartamento área privativa 216,70m² preços variam conforme andar, sala em 02 ambientes, varanda com 30m² com churrasqueira, lavado, 04 quartos todos suítes com varanda, aquecimento nas torneiras, e chuveiros, cozinha e copa, área de serviço, dependência completa de empregada, piso porcelanato, manta acústica na suíte máster, piso dura flor emborrachado, teto em gesso, 07 pontos de ar condicionado, garagem para 03 carros sendo 01 presa, salão de festas, 03 elevadores, poço artesiano. 
Condomínio com valor aproximado R$ 800,00",217 m²
N/A,R$ 245.000Cond.  R$ 1 | IPTU R$ 245,"Santa Mônica, Uberlândia","APARTAMENTO 2 QUARTOS COM SUÍTE BAIRRO SANTA MÔNICA 
 2 QUARTOS, SENDO 1 SUÍTE 
 SALA COM SACADA 
 ÁREA DE SERVIÇO 
 COZINHA 
 DUAS VAGAS DE GARAGEM 
 
 
 
 
 - Características: Portão Eletrônico, 
 
 - Cômodos: Área de Serviço, Copa, Cozinha, Sacada, 
 
 - Proximidades: Bares e Restaurantes, Escola, Farmácia, Supermercado, Postos de Gasolina,",55 m²
N/A,R$ 420.000,"Daniel Fonseca, Uberlândia","Apartamento à venda no bairro Daniel Fonseca em Uberlândia. 
 
 R$ 400.000,00 
 
 Área privativa: 96,00 m² 
 
 3/4 com armários e espelhos, sendo uma suíte com armário e Box; 
 Sala em 2 ambientes com painel de TV e sacada; 
 Banheiro social com armário e Box; 
 Cozinha tradicional com armários, cooktop e coifa; 
 Área de serviço com armário e varais suspensos; 
 1 vaga de garagem coberta para um carro. 
 
 Iluminação em LED; 
 Piso em porcelanato; 
 Papel de parede; 
 Molduras em gesso. 
 
 Condomínio R$ 400,00, incluso água e gás; 
 Elevador; 
 Sistema de segurança. 
 
 - Próximo a Clínicas e Hospitais. 
 - Próximo a Supermercado, Restaurantes e Lotérica.",94 m²
N/A,R$ 330.000,"Santa Mônica, Uberlândia","- Excelentes apartamentos a partir de 58m² com localização privilegiada no Santa Monica.

- 02 quartos, sendo 01 suíte
- Banheiro social
- Sala em 02 ambientes
- Sacada
- Cozinha
- Área de serviços
- Piso porcelanato
- 01 vaga coberta que suporta até dois carros

*Residencial COM ELEVADOR.


- Próximo da Prefeitura, UFU, Correios e Lotérica.
- Próximo ao Center Shopping, Cartório Civil, UAI Atendimento (Documentos), Academias e toda finalidade comercial, educacional, transporte público e muito mais.


***ATENÇÃO: Os preços, valores e informações acima exibidos, poderão sofrer mudanças sem prévio aviso e a qualquer tempo, a critério dos proprietários. Por este motivo todos os preços e informações deverão ser confirmados pela Storte Imóveis. -",58 m²
N/A,R$ 200.000Cond.  R$ 100 | IPTU R$ 0,"Aclimação, Uberlândia","Apartamento localizado no bairro Aclimação de aproximadamente 49m² de área privativa, com 02 quartos com sacada, banheiro social, sala com sacada, cozinha, área de serviços e 01 vaga de garagem aberta.",49 m²
N/A,R$ 200.000Cond.  R$ 185 | IPTU R$ 0,"Jaraguá, Uberlândia","Condomínio com: portão eletrônico, interfone, câmeras e concertina.

Apartamento com: sala com painel, sacada com escrivaninha e armário,
02 quartos, sendo 01 com armários,
cozinha planejada com sacada,
lavanderia conjugada com banheiro social com box ,armários sobre a pia ,espelho e. ref. 66178 atualizado em 12/10.",46 m²
N/A,R$ 850.000Cond.  R$ 800 | IPTU R$ 0,"Centro, Uberlândia","Belíssimo apartamento localizado na região Central de Uberlândia, em frente a Praça Tubal Vilela, com 260m²de área privativa. Todo reformado e modernizado, moveis planejados novos, acabamento de primeiríssima qualidade. Dispõe de sala em 2 ambientes e painel de TV, escritório com bancada em granito e armário, sala de jantar com armário, 5 quartos com armários sendo 2 suítes, roupeiro, lavabo, banheiro social com armário, espelho e box em blindex, cozinha com armário, lavanderia. 1 Vaga de garagem. Condomínio com portaria 24 horas, 2 Elevadores. Gostou do imóvel? Estamos aqui para te ajudar na negociação. Conte com a Objetiva Imóveis Uberlândia",260 m²
N/A,R$ 1.200.000Cond.  R$ 1 | IPTU R$ 1,"Tibery, Uberlândia","PRÉDIO BEM LOCALIZADO NO BAIRRO SENDO O 1 PISO UMA SALA COMERCIAL DE 117,80 M² COM DEPÓSITO, BANHO SOCIAL, PISO EM PORCELANATO, 2 PISO COM 2 APARTAMENTOS, DE 112 M² CADA, COM SALA EM 2 AMBIENTES E SACADA, 3 QUARTOS SENDO 1 SUITE, BANHO SOCIAL, COZINHA COM BANCADA EM GRANITO, ÁREA DE SERVIÇO, PISO EM PORCELANATO, SANCA GESSO.",112 m²
N/A,R$ 255.000,"Novo Mundo, Uberlândia","Apartamento em construção localizada no bairro Bem Viver, com 53,50m² de área privativa. Possui 2 quartos, sendo 1 suíte, banheiro, área de serviço, cozinha, elevador e garagem para 1 carro. 

* OBRA EM FASE FINAL, PREVISÃO DE ENTREGA EM JANEIRO 2023. *

Parcelamos a entrada até a entrega da obra e mais 6 vezes no cartão de crédito. 

Pegamos carro, moto ou terreno como entrada.

* PRÉDIO COM ELEVADOR;

* ACABAMENTO DE PRIMEIRA. 

-Apto 304 2/4 com suíte 53,50m² - Valor 255 mil;

Gostou do imóvel? Estamos aqui para te ajudar na negociação. Conte com a Objetiva Imóveis Uberlândia",54 m²
N/A,R$ 860.000Cond.  R$ 440 | IPTU R$ 0,"Martins, Uberlândia","Apartamento em Localização nobre,
3 quartos, sendo 1 suíte master com closet,
Sala ampla em dois ambientes, integrada com cozinha estilo americana,
Banheiro social,
Área de serviço,
Varanda gourmet com churrasqueira,
Condomínio com : academia, salão de festas, brinquedoteca.
Garagem com 2 vagas.

Entre em contato com o nosso departamento comercial para mais informações. Será um prazer atendê-lo(a).
*Valores poderão ser alterados sem aviso prévio.",118 m²
N/A,R$ 290.000,"Lídice, Uberlândia",Residencial Lidice -,47 m²
N/A,R$ 450.000Cond.  R$ 350 | IPTU R$ 0,"Tubalina, Uberlândia","Excelente apartamento, no bairro Tubalina, com linda vista para o Praia Clube, com fácil acesso ao centro da cidade. • 79,65m²de área privativa; • Elevadores; • 02 vagas de garagem; • Sala para 02 ambientes; • 03 quartos sendo (01 suíte); • Cozinha; • playground, salão de festas. Condomínio com água, gás.",79 m²
N/A,R$ 735.000Cond.  R$ 785 | IPTU R$ 0,"Segismundo Pereira, Uberlândia","Apartamento no condomínio Boulevard, localizado no bairro Santa Mônica! 

São três quartos, sendo uma suíte, todos montados com armários, banheiro social com armários e blindex, sala em dois ambientes com sacada gourmet com churrasqueira, cozinha com bancadas em granito montada com armários, lavanderia separada com armários. 

São 100m de área privativa! 

Prédio com:
Elevador 
Salão de festas 
Academia 
Espaço gourmet 
Piscina 
Portaria 24H 

Valor do imóvel R$ 735.000,00.

Agende sua visita através do nosso WhatsApp! 

Moriah empreendimentos imobiliários, a chave dos bons negócios!",100 m²
N/A,R$ 420.000Cond.  R$ 280 | IPTU R$ 0Preço abaixo do mercado,"Patrimônio, Uberlândia","Oportunidade de apartamento a venda,
Muito bem localizado no bairro Copacabana,
Possuindo uma área útil de 89,65m²,
São 3 quartos sendo 1 suíte,
Sala
E possui 2 vaga de garagem coberta. -",90 m²
N/A,R$ 670.000Cond.  R$ 180 | IPTU R$ 1,"Osvaldo Rezende, Uberlândia","Lindo apartamento de 135 m², boa localização, com sala em três ambientes , lavabo, 3 suites sendo 2 com closet e todas com armarios, cozinha com armarios e bancada de granito, área de serviço separada, espaço gourmet com pia, armario e churrasqueira, piso em porcelanato, esquadrias em alumínio, cortinas, espelhos, detalhes em gesso na sala e iluminação Led, 2 vagas de garagem. Edifico com elevador.",135 m²
N/A,R$ 350.000Cond.  R$ 550 | IPTU R$ 0,"Patrimônio, Uberlândia","Apartamento com sala em dois ambientes com sanca de gesso e sacada com vista voltada para a Av Rondon Pacheco,
3 quartos, 2 com armários, sendo 1 suíte,
Banheiro social,
Cozinha,
Área de serviço com armários planejados,
1 vaga de garagem,
Condomínio com água e gás incluso.
Área privativa: 70,59m².",71 m²
N/A,R$ 1.000.000Cond.  R$ 685 | IPTU R$ 0,"Centro, Uberlândia","Cobertura exclusiva na área central de Uberlândia.

Duplex (dois pavimentos).

Pavimento inferior conta com uma sala de visitas maravilhosa com varanda, duas suítes com armários planejados, cozinha toda montada com armários planejados, lavanderia montada.

Pavimento superior com Lavabo super luxuoso, suíte master muito bem montada com decoração exclusiva e ar condicionado, varanda gourmet com vista panorâmica da cidade e uma Jacuzzi para 5 pessoas, com iluminação intermitente, sauna, mesa com sinuca oclusa, sistema de som planejado e embutido, pia com apoio, cooktop, churrasqueira a carvão, persianas eletrônicas.
Apartamento todo decorado com papéis de parede, espelhos, painéis em madeira, rebaixamento em gesso e projeto de iluminação em todo o imóvel. -",140 m²
N/A,R$ 310.000Preço abaixo do mercado,"Santa Mônica, Uberlândia","Apartamento novo, com área privativa de aproximadamente 64m² sendo, sala em 02 Ambientes, 02 quartos sendo 01 suíte, banheiro social, cozinha, área de serviço e 1 vaga de garagem.",64 m²
N/A,R$ 500.000Cond.  R$ 318 | IPTU R$ 0,"Saraiva, Uberlândia","Apartamento bem decorado no Bairro Saraiva com 90m2, 02 vagas, sala 02 ambientes com sacada, painel de tv, cozinha montada de armários, 03 quartos com armários (02 com ar condicionado) sendo 01 suíte, 02 banheiros com armários, área de serviço com armários, elevador, portaria eletrônica. Condomínio incluso água, gás encanado, segurança 24h e circuito fechado de TV.",90 m²
N/A,R$ 378.900,"Brasil, Uberlândia","Apartamento com aproximadamente 63,28m² de área privativa, sendo sala ampla, 2 quartos e 1 suíte, banheiro social, cozinha americana, área de serviço, sacada e 1 vaga de garagem",63 m²
N/A,R$ 200.000,"Alto Umuarama, Uberlândia","Ótimo apartamento térreo localizado no Bairro Alto Umuarama com 47m2 de área privativa, 01 vaga de garagem, sala em 02 ambientes, cozinha, 02 quartos, banheiro social com box e armários, área de serviço.",47 m²
N/A,R$ 210.000Cond.  R$ 280 | IPTU R$ 1,"Laranjeiras, Uberlândia","Não perca a oportunidade de investir em um apartamento de alta rentabilidade e valorização! O Gran Toro é um condomínio em uma ótima localização de grande valorização no bairro Jardim Espanha, que oferece tudo o que você precisa. Com uma sala em 2 ambientes com sacada gourmet, 2 quartos, banheiro social e cozinha estilo americana com bancada em granito, além de uma área de serviço e 2 vagas de garagem, este apartamento é perfeito para quem busca praticidade e conforto. O condomínio ainda oferece 2 elevadores, salão de festa, playground e espaço gourmet, tornando-se uma excelente opção para quem procura uma vida com qualidade e bem-estar. Com 49m² de área privativa, este é o investimento certo para quem quer garantir um retorno financeiro sólido e duradouro. Agende já uma visita e saiba mais!",49 m²
N/A,R$ 160.000Cond.  R$ 120 | IPTU R$ 0Preço abaixo do mercado,"Umuarama, Uberlândia","Ótimo apartamento próximo a UFU com 2 quartos montados com armário embutido. Banheiro social com box e armário, hall, sala ampla, cozinha planejada, área de serviço, 1 vaga de garagem. Portaria 24 horas. Condomínio: R$ 120,00.Gostou do imóvel? Estamos aqui para te ajudar na negociação. Conte com a Objetiva Imóveis Uberlândia",50 m²
